instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
mixed_stress_seed_5,mixed_stress,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.142111,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_6,mixed_stress,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.140585,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_7,mixed_stress,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.150404,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_8,mixed_stress,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.143417,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_9,mixed_stress,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.140747,1,atomicity_violation;stale_write_violation,2,6,0
atomic_multi_write_seed_0,atomic_multi_write,0,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.103334,1,atomicity_violation,1,3,0
atomic_multi_write_seed_1,atomic_multi_write,1,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.097604,1,atomicity_violation,1,3,0
atomic_multi_write_seed_2,atomic_multi_write,2,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.104518,1,atomicity_violation,1,3,0
atomic_multi_write_seed_3,atomic_multi_write,3,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.095251,1,atomicity_violation,1,3,0
atomic_multi_write_seed_4,atomic_multi_write,4,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.095895,1,atomicity_violation,1,3,0
atomic_multi_write_seed_5,atomic_multi_write,5,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.093687,1,atomicity_violation,1,3,0
atomic_multi_write_seed_6,atomic_multi_write,6,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.093699,1,atomicity_violation,1,3,0
atomic_multi_write_seed_7,atomic_multi_write,7,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.095095,1,atomicity_violation,1,3,0
atomic_multi_write_seed_8,atomic_multi_write,8,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.093646,1,atomicity_violation,1,3,0
atomic_multi_write_seed_9,atomic_multi_write,9,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.096345,1,atomicity_violation,1,3,0
crash_during_commit_seed_0,crash_during_commit,0,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08991,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_1,crash_during_commit,1,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.090405,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_2,crash_during_commit,2,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08879,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_3,crash_during_commit,3,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.091221,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_4,crash_during_commit,4,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.088317,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_5,crash_during_commit,5,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.089173,1,recovery_consistency_violation,1,4,0
